SCHOOL_NAME,CCA_NAME
ADMIRALTY PRIMARY SCHOOL,ART AND CRAFTS
ADMIRALTY PRIMARY SCHOOL,CHINESE DANCE
ADMIRALTY PRIMARY SCHOOL,CHOIR
ADMIRALTY PRIMARY SCHOOL,DESIGN AND INNOVATION
ADMIRALTY PRIMARY SCHOOL,"ENGLISH LANGUAGE, DRAMA AND DEBATING"
ADMIRALTY PRIMARY SCHOOL,FOOTBALL
ADMIRALTY PRIMARY SCHOOL,GIRL GUIDES (BROWNIES)
ADMIRALTY PRIMARY SCHOOL,GUITAR ENSEMBLE
ADMIRALTY PRIMARY SCHOOL,GUZHENG ENSEMBLE
ADMIRALTY PRIMARY SCHOOL,INDIAN DANCE
ADMIRALTY PRIMARY SCHOOL,INFOCOMM TECHNOLOGY (COMPUTING)
ADMIRALTY PRIMARY SCHOOL,MALAY DANCE
ADMIRALTY PRIMARY SCHOOL,MODULAR CCA (SPORTS)
ADMIRALTY PRIMARY SCHOOL,PHOTOGRAPHY
ADMIRALTY PRIMARY SCHOOL,ROPE SKIPPING
ADMIRALTY PRIMARY SCHOOL,SCOUTS
ADMIRALTY PRIMARY SCHOOL,TRACK AND FIELD
ADMIRALTY PRIMARY SCHOOL,WUSHU
ADMIRALTY SECONDARY SCHOOL,ART AND CRAFTS
ADMIRALTY SECONDARY SCHOOL,BADMINTON
ADMIRALTY SECONDARY SCHOOL,CONCERT BAND
ADMIRALTY SECONDARY SCHOOL,DIGITAL MEDIA
ADMIRALTY SECONDARY SCHOOL,ENGLISH DRAMA
ADMIRALTY SECONDARY SCHOOL,GUZHENG ENSEMBLE
ADMIRALTY SECONDARY SCHOOL,MEDIA RESOURCE LIBRARY
ADMIRALTY SECONDARY SCHOOL,MODERN DANCE
ADMIRALTY SECONDARY SCHOOL,NATIONAL CADET CORPS (LAND)
ADMIRALTY SECONDARY SCHOOL,NATIONAL CIVIL DEFENCE CADET CORPS
ADMIRALTY SECONDARY SCHOOL,NATIONAL POLICE CADET CORPS
ADMIRALTY SECONDARY SCHOOL,NETBALL
ADMIRALTY SECONDARY SCHOOL,RED CROSS YOUTH
ADMIRALTY SECONDARY SCHOOL,ROBOTICS
ADMIRALTY SECONDARY SCHOOL,RUGBY
ADMIRALTY SECONDARY SCHOOL,STUDENT LEADERSHIP (COUNCIL)
ADMIRALTY SECONDARY SCHOOL,STUDENT LEADERSHIP (HOUSE)
ADMIRALTY SECONDARY SCHOOL,TRACK AND FIELD
ADMIRALTY SECONDARY SCHOOL,WUSHU
AHMAD IBRAHIM PRIMARY SCHOOL,ART AND CRAFTS
AHMAD IBRAHIM PRIMARY SCHOOL,BADMINTON
AHMAD IBRAHIM PRIMARY SCHOOL,BASKETBALL
AHMAD IBRAHIM PRIMARY SCHOOL,CHINESE DANCE
AHMAD IBRAHIM PRIMARY SCHOOL,CHOIR
AHMAD IBRAHIM PRIMARY SCHOOL,FOOTBALL
AHMAD IBRAHIM PRIMARY SCHOOL,INDIAN DANCE
AHMAD IBRAHIM PRIMARY SCHOOL,MALAY DANCE
AHMAD IBRAHIM PRIMARY SCHOOL,PHOTOGRAPHY
AHMAD IBRAHIM PRIMARY SCHOOL,ROBOTICS
AHMAD IBRAHIM PRIMARY SCHOOL,ROPE SKIPPING
AHMAD IBRAHIM PRIMARY SCHOOL,SCOUTS
AHMAD IBRAHIM PRIMARY SCHOOL,STUDENT LEADERSHIP (PREFECT)
AHMAD IBRAHIM SECONDARY SCHOOL,BASKETBALL
AHMAD IBRAHIM SECONDARY SCHOOL,CHINESE ORCHESTRA
AHMAD IBRAHIM SECONDARY SCHOOL,CHOIR
AHMAD IBRAHIM SECONDARY SCHOOL,CONCERT BAND
AHMAD IBRAHIM SECONDARY SCHOOL,ENGLISH DRAMA
AHMAD IBRAHIM SECONDARY SCHOOL,ENVIRONMENTAL SCIENCE
AHMAD IBRAHIM SECONDARY SCHOOL,FOOTBALL
AHMAD IBRAHIM SECONDARY SCHOOL,GIRL GUIDES
AHMAD IBRAHIM SECONDARY SCHOOL,MODERN DANCE
AHMAD IBRAHIM SECONDARY SCHOOL,NATIONAL CADET CORPS (LAND)
AHMAD IBRAHIM SECONDARY SCHOOL,NATIONAL POLICE CADET CORPS
AHMAD IBRAHIM SECONDARY SCHOOL,ROBOTICS
AHMAD IBRAHIM SECONDARY SCHOOL,SCOUTS
AHMAD IBRAHIM SECONDARY SCHOOL,SHOOTING
AHMAD IBRAHIM SECONDARY SCHOOL,ST JOHN BRIGADE
AHMAD IBRAHIM SECONDARY SCHOOL,STUDENT LEADERSHIP (COUNCIL)
AHMAD IBRAHIM SECONDARY SCHOOL,STUDENT LEADERSHIP (HOUSE)
AHMAD IBRAHIM SECONDARY SCHOOL,STUDENT LEADERSHIP (PEER SUPPORT)
AHMAD IBRAHIM SECONDARY SCHOOL,TRACK AND FIELD
AI TONG SCHOOL,ART AND CRAFTS
AI TONG SCHOOL,BADMINTON
AI TONG SCHOOL,CHINESE DANCE
AI TONG SCHOOL,CHOIR
AI TONG SCHOOL,ENGLISH DRAMA
AI TONG SCHOOL,ENVIRONMENTAL SCIENCE
AI TONG SCHOOL,GIRL GUIDES (BROWNIES)
AI TONG SCHOOL,GUZHENG ENSEMBLE
AI TONG SCHOOL,INFOCOMM TECHNOLOGY (COMPUTING)
AI TONG SCHOOL,MODULAR CCA (SPORTS)
AI TONG SCHOOL,PERCUSSION ENSEMBLE
AI TONG SCHOOL,ROBOTICS
AI TONG SCHOOL,SCOUTS
AI TONG SCHOOL,TABLE TENNIS
AI TONG SCHOOL,TRACK AND FIELD
AI TONG SCHOOL,VOLLEYBALL
AI TONG SCHOOL,WUSHU
ALEXANDRA PRIMARY SCHOOL,ART AND CRAFTS
ALEXANDRA PRIMARY SCHOOL,BADMINTON
ALEXANDRA PRIMARY SCHOOL,BASKETBALL
ALEXANDRA PRIMARY SCHOOL,CHEERLEADING
ALEXANDRA PRIMARY SCHOOL,CHINESE CULTURE AND LANGUAGE
ALEXANDRA PRIMARY SCHOOL,CHINESE DRUMS
ALEXANDRA PRIMARY SCHOOL,CHOIR
ALEXANDRA PRIMARY SCHOOL,ENGLISH DRAMA
ALEXANDRA PRIMARY SCHOOL,ENVIRONMENTAL SCIENCE
ALEXANDRA PRIMARY SCHOOL,GUITAR ENSEMBLE
ALEXANDRA PRIMARY SCHOOL,INFOCOMM TECHNOLOGY (COMPUTING)
ALEXANDRA PRIMARY SCHOOL,INTERNATIONAL CHESS
ALEXANDRA PRIMARY SCHOOL,MODERN DANCE
ALEXANDRA PRIMARY SCHOOL,RUGBY
ALEXANDRA PRIMARY SCHOOL,SCOUTS
ALEXANDRA PRIMARY SCHOOL,SOFTBALL
ALEXANDRA PRIMARY SCHOOL,SWIMMING
ALEXANDRA PRIMARY SCHOOL,TABLE TENNIS
ALEXANDRA PRIMARY SCHOOL,TRACK AND FIELD
ANCHOR GREEN PRIMARY SCHOOL,BASKETBALL
ANCHOR GREEN PRIMARY SCHOOL,CHINESE DRUMS
ANCHOR GREEN PRIMARY SCHOOL,CHOIR
ANCHOR GREEN PRIMARY SCHOOL,ENGLISH DRAMA
ANCHOR GREEN PRIMARY SCHOOL,ENVIRONMENTAL SCIENCE
ANCHOR GREEN PRIMARY SCHOOL,FLOORBALL
ANCHOR GREEN PRIMARY SCHOOL,GUZHENG ENSEMBLE
ANCHOR GREEN PRIMARY SCHOOL,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION)
ANCHOR GREEN PRIMARY SCHOOL,INTERNATIONAL CHESS
ANCHOR GREEN PRIMARY SCHOOL,MODERN DANCE
ANCHOR GREEN PRIMARY SCHOOL,NETBALL
ANCHOR GREEN PRIMARY SCHOOL,ROBOTICS
ANCHOR GREEN PRIMARY SCHOOL,SCOUTS
ANCHOR GREEN PRIMARY SCHOOL,WUSHU
ANDERSON PRIMARY SCHOOL,ANGKLUNG/KULINTANG ENSEMBLE
ANDERSON PRIMARY SCHOOL,ART AND CRAFTS
ANDERSON PRIMARY SCHOOL,BADMINTON
ANDERSON PRIMARY SCHOOL,BASKETBALL
ANDERSON PRIMARY SCHOOL,BOYS' BRIGADE
ANDERSON PRIMARY SCHOOL,BRASS BAND
ANDERSON PRIMARY SCHOOL,CHINESE DANCE
ANDERSON PRIMARY SCHOOL,CULTURAL DANCE
ANDERSON PRIMARY SCHOOL,ENGLISH DRAMA
ANDERSON PRIMARY SCHOOL,ENVIRONMENTAL SCIENCE
ANDERSON PRIMARY SCHOOL,FOOTBALL
ANDERSON PRIMARY SCHOOL,GIRLS' BRIGADE
ANDERSON PRIMARY SCHOOL,GUITAR ENSEMBLE
ANDERSON PRIMARY SCHOOL,GUZHENG ENSEMBLE
ANDERSON PRIMARY SCHOOL,INDIAN DANCE
ANDERSON PRIMARY SCHOOL,LION AND DRAGON DANCE
ANDERSON PRIMARY SCHOOL,MALAY DANCE
ANDERSON PRIMARY SCHOOL,MODERN DANCE
ANDERSON PRIMARY SCHOOL,ROBOTICS
ANDERSON PRIMARY SCHOOL,TAP DANCE
ANDERSON PRIMARY SCHOOL,VOLLEYBALL
ANDERSON SECONDARY SCHOOL,ART AND CRAFTS
ANDERSON SECONDARY SCHOOL,BASKETBALL
ANDERSON SECONDARY SCHOOL,BIOLOGICAL SCIENCE
ANDERSON SECONDARY SCHOOL,CHINESE DANCE
ANDERSON SECONDARY SCHOOL,CHOIR
ANDERSON SECONDARY SCHOOL,CONCERT BAND
ANDERSON SECONDARY SCHOOL,ENGLISH DRAMA
