SCHOOL_NAME,ADDRESS,POSTAL_CODE,TELEPHONE,MRT_NAME
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,738907,63620598,Admiralty Station
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT   ,737916,63651733,ADMIRALTY MRT
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11   ,768643,67592906,Yishun
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7   ,768928,67585384,"CANBERRA MRT, YISHUN MRT"
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,64547672,Bishan MRT
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,159016,62485400,Redhill Station; Tiong Bahru Station
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive   ,544969,68861356,MRT : NE16-Sengkang; LRT : SW7-TongKang
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,64560340,Yio Chu Kang MRT Station (NS 15); Lentor MRT Station (TE5)
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53   ,569206,64598303,"ANG MO KIO MRT, YIO CHU KANG MRT"
ANDERSON SERANGOON JUNIOR COLLEGE,1033 Upper Serangoon Road   ,534768,64596822,Kovan MRT Station
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3   ,569920,64520794,Ang Mo Kio MRT Station; Mayflower MRT Station
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22   ,569362,64548605,ANG MO KIO MRT
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD   ,487012,62414866,TANAH MERAH MRT
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST   ,139745,67750511,Buona Vista
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD   ,309919,62561633,"NEWTON MRT, STEVENS MRT"
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD   ,139650,67731633,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT"
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD   ,227988,67337911,Newton MRT Station
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,309918,62501633,Newton MRT Station
ANGSANA PRIMARY SCHOOL,51 Tampines Street 61   ,528565,67830427,Tampines
ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD   ,678117,65729100,CASHEW MRT
ASSUMPTION PATHWAY SCHOOL,30 Cashew Road   ,679697,62793000,"DOWNTOWN LINE 2, CASHEW MRT"
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI   ,538403,62889013,"BARTLEY MRT, TAI SENG MRT"
BEACON PRIMARY SCHOOL,36 Bukit Panjang Ring Road   ,679944,67697255,"Bangkit LRT, Fajar LRT Station, Bukit Panjang MRT"
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH   ,318990,62569108,"BRADDELL MRT, TOA PAYOH MRT"
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2   ,469317,64425416,"Bedok MRT Station, Tanah Merah MRT Station"
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3   ,469722,64463301,"BEDOK MRT, BEDOK RESERVOIR MRT"
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK   ,468585,64414479,TANAH MERAH MRT
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3   ,469293,64430563,TANAH MERAH MRT
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD   ,339948,62982911,"Boon Keng, Kallang"
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD   ,327919,62927616,BOON KENG MRT
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS   ,109100,62717387,"Telok Blangah, Tiong Bahru & Redhill"
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE   ,649930,63160998,Lakeside & Boon Lay
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65   ,648354,67940161,Boon Lay
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI   ,547529,63859466,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT"
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT   ,399935,63445025,DAKOTA MRT
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8   ,658962,63799413,BUKIT BATOK MRT
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU   ,159050,64748934,REDHILL MRT
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4   ,689809,67691031,CHOA CHU KANG MRT
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,679676,67691912,From Pending LRT station to Choa Chu Kang MRT station
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis   ,598112,64662863,"Beauty World, Bukit Batok and Clementi Stations"
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21   ,659634,65661980,Bukit Batok MRT Station
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21   ,659633,65661990,BUKIT BATOK MRT
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE   ,757714,67597433,Sembawang MRT Station
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE   ,757699,67585070,SEMBAWANG MRT
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road   ,387621,68441418,Nearest MRT station: Mattar Station (about 3-minute walk)
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE   ,88256,65119555,Tanjong Pagar; Outram Park
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41   ,518935,65837132,Pasir Ris MRT Station
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,579767,64582177 (Secondary),BISHAN MRT
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD   ,297822,62524083,"Toa Payoh (NS Line), Novena (NS Line), Stevens (DT Line), Caldecott (CC Line,TE Line)"
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE   ,349692,62884909,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT"
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE   ,349700,62885633,Potong Pasir MRT Station
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3   ,529894,67859790,SIMEI MRT
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3   ,529896,67830923,Simei MRT Station
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD   ,424821,63443072,MARINE PARADE; EUNOS; PAYA LEBAR
